Term	Database	ID	Input number	Background number	PValue	p.adjust	Input	Hyperlink
TNF signaling pathway	KEGG PATHWAY	hsa04668	7	112	1.37389859519e-08	1.9692546531e-06	CXCL1|MAP3K8|CREB5|TNFAIP3|TNF|MMP9|JAG1	http://www.genome.jp/kegg-bin/show_pathway?hsa04668/hsa:4318%09red/hsa:7128%09red/hsa:9586%09red/hsa:7124%09red/hsa:2919%09red/hsa:1326%09red/hsa:182%09red
Osteoclast differentiation	KEGG PATHWAY	hsa04380	6	128	7.8292524705e-07	6.05807641765e-05	OSCAR|FCGR2C|FCGR2A|TNF|SIRPB1|LILRA2	http://www.genome.jp/kegg-bin/show_pathway?hsa04380/hsa:7124%09red/hsa:126014%09red/hsa:2212%09red/hsa:11027%09red/hsa:10326%09red/hsa:9103%09red
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	7	294	7.19942672347e-06	0.000488803182804	CXCL1|IL1RN|IL13RA1|CCL4|TNFRSF10C|TNF|CSF3R	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:3597%09red/hsa:3557%09red/hsa:7124%09red/hsa:8794%09red/hsa:2919%09red/hsa:1441%09red/hsa:6351%09red
Leishmaniasis	KEGG PATHWAY	hsa05140	4	74	3.50070791821e-05	0.00141122287953	TNF|FCGR2C|TLR4|FCGR2A	http://www.genome.jp/kegg-bin/show_pathway?hsa05140/hsa:7124%09red/hsa:7099%09red/hsa:2212%09red/hsa:9103%09red
Salmonella infection	KEGG PATHWAY	hsa05132	4	83	5.37575305995e-05	0.00192631151315	CXCL1|CCL4|TLR4|CDC42	http://www.genome.jp/kegg-bin/show_pathway?hsa05132/hsa:7099%09red/hsa:998%09red/hsa:2919%09red/hsa:6351%09red
NOD-like receptor signaling pathway	KEGG PATHWAY	hsa04621	5	178	7.31189745107e-05	0.00248219676628	CXCL1|TNF|TLR4|TNFAIP3|NAMPT	http://www.genome.jp/kegg-bin/show_pathway?hsa04621/hsa:7124%09red/hsa:7099%09red/hsa:2919%09red/hsa:7128%09red/hsa:10135%09red
IL-17 signaling pathway	KEGG PATHWAY	hsa04657	4	93	8.22006034362e-05	0.00271894303674	CXCL1|TNF|TNFAIP3|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa04657/hsa:7124%09red/hsa:4318%09red/hsa:2919%09red/hsa:7128%09red
Viral protein interaction with cytokine and cytokine receptor	KEGG PATHWAY	hsa04061	4	100	0.000107734636943	0.00338288062074	TNFRSF10C|CXCL1|TNF|CCL4	http://www.genome.jp/kegg-bin/show_pathway?hsa04061/hsa:7124%09red/hsa:2919%09red/hsa:6351%09red/hsa:8794%09red
NF-kappa B signaling pathway	KEGG PATHWAY	hsa04064	4	100	0.000107734636943	0.00338288062074	CCL4|TNF|TLR4|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04064/hsa:7124%09red/hsa:7099%09red/hsa:7128%09red/hsa:6351%09red
Toll-like receptor signaling pathway	KEGG PATHWAY	hsa04620	4	104	0.000124672680773	0.00365517632266	MAP3K8|TNF|CCL4|TLR4	http://www.genome.jp/kegg-bin/show_pathway?hsa04620/hsa:7124%09red/hsa:7099%09red/hsa:6351%09red/hsa:1326%09red
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	5	203	0.000133377746198	0.00375301363092	CDC42|TNF|THBS1|TLR4|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:7124%09red/hsa:7099%09red/hsa:4318%09red/hsa:998%09red/hsa:7057%09red
Parathyroid hormone synthesis, secretion and action	KEGG PATHWAY	hsa04928	4	106	0.000133828393041	0.00375301363092	MMP25|CREB5|EGR1|PDE4D	http://www.genome.jp/kegg-bin/show_pathway?hsa04928/hsa:5144%09red/hsa:64386%09red/hsa:1958%09red/hsa:9586%09red
Metabolic pathways	KEGG PATHWAY	hsa01100	12	1433	0.000138896839055	0.00381227494429	NPL|HAL|ST3GAL6|ENTPD1|B3GNT5|PDE4D|ACSL1|NAMPT|SCD5|LPCAT2|CYP4F3|PYGL	http://www.genome.jp/kegg-bin/show_pathway?hsa01100/hsa:10402%09red/hsa:5144%09red/hsa:953%09red/hsa:80896%09red/hsa:5836%09red/hsa:84002%09red/hsa:3034%09red/hsa:10135%09red/hsa:4051%09red/hsa:79966%09red/hsa:54947%09red/hsa:2180%09red
Yersinia infection	KEGG PATHWAY	hsa05135	4	121	0.000218736368616	0.00522536880583	SKAP2|TNF|TLR4|CDC42	http://www.genome.jp/kegg-bin/show_pathway?hsa05135/hsa:7124%09red/hsa:7099%09red/hsa:8935%09red/hsa:998%09red
Malaria	KEGG PATHWAY	hsa05144	3	49	0.000251804459328	0.00560047849196	TNF|TLR4|THBS1	http://www.genome.jp/kegg-bin/show_pathway?hsa05144/hsa:7124%09red/hsa:7099%09red/hsa:7057%09red
Legionellosis	KEGG PATHWAY	hsa05134	3	55	0.00034802178108	0.00672335000092	CXCL1|TNF|TLR4	http://www.genome.jp/kegg-bin/show_pathway?hsa05134/hsa:7124%09red/hsa:7099%09red/hsa:2919%09red
Phagosome	KEGG PATHWAY	hsa04145	4	152	0.000507057907335	0.0089603383625	FCGR2A|FCGR2C|TLR4|THBS1	http://www.genome.jp/kegg-bin/show_pathway?hsa04145/hsa:7099%09red/hsa:7057%09red/hsa:2212%09red/hsa:9103%09red
Necroptosis	KEGG PATHWAY	hsa04217	4	162	0.000640178289679	0.0103228749211	TNF|PYGL|TLR4|TNFAIP3	http://www.genome.jp/kegg-bin/show_pathway?hsa04217/hsa:7124%09red/hsa:7099%09red/hsa:7128%09red/hsa:5836%09red
Hepatitis B	KEGG PATHWAY	hsa05161	4	163	0.000654724959449	0.010427101206	CREB5|TNF|TLR4|MMP9	http://www.genome.jp/kegg-bin/show_pathway?hsa05161/hsa:7124%09red/hsa:7099%09red/hsa:4318%09red/hsa:9586%09red
