"","GSM1329616","GSM1329617","GSM1329618","GSM1329619","GSM1329620","GSM1329621","GSM1329622","GSM1329623","GSM1329624","GSM1329625","GSM1329626","GSM1329627","GSM1329628","GSM1329629","GSM1329630","GSM1329631","GSM1329632","GSM1329633","GSM1329634","GSM1329635","GSM1329636","GSM1329637"
"ARG1","6.77044","6.60349","5.68723","5.04936","4.51963","5.27012","4.51813","5.58241","5.66063","5.48617","12.303","7.77055","7.12462","6.35805","7.51242","5.87725","5.22149","8.16817","5.07247","6.88462","4.47982","5.58534"
"ARG1","3.55082","3.54671","3.61139","3.71419","3.54311","3.71619","3.50159","3.42649","3.67848","3.52768","3.46552","3.59813","3.53702","3.55129","3.56623","3.5634","3.55157","3.69753","3.57307","3.66479","3.53688","3.56853"
"ARG1","4.12799","3.8855","4.20061","4.19775","3.88826","4.02683","4.16652","4.1155","3.97374","3.81816","4.63719","4.23676","3.84706","4.23999","4.03997","4.07007","3.96636","4.26714","3.8986","4.12671","4.07007","4.26714"
"ARG1","3.56427","3.61482","3.6718","3.49141","3.85423","3.94936","3.6955","3.92434","3.88778","3.76137","4.21186","3.63102","3.70377","3.84047","3.7251","3.65775","3.61576","3.83775","3.57964","3.70566","3.60718","3.63923"
"CXCL1","6.71736","5.46255","6.8068","5.80485","6.17577","5.48135","5.23138","5.85883","5.73641","5.5221","8.66734","6.31899","6.77595","6.16979","5.60779","5.93192","5.72938","6.85187","5.62176","9.66455","7.95904","5.69449"
"LRG1","5.89766","6.08186","6.1336","6.43297","6.63854","6.18845","6.19658","6.70948","5.92727","6.53494","9.55308","6.12387","6.76197","6.71257","6.47488","6.80326","6.28672","7.4241","6.13944","8.89779","7.53937","6.50926"
"MMP9","8.34714","6.7444","6.93645","6.88997","7.10808","6.97697","6.96266","7.48323","6.99055","7.47623","13.0862","8.14663","8.88312","8.03554","7.99588","7.3394","7.2032","8.15671","6.82154","9.43923","7.74244","7.37714"
"OSCAR","8.28377","7.07484","7.92018","7.9561","7.9826","7.52294","7.9169","8.20684","7.99278","8.55212","9.50637","7.3407","8.28928","8.67733","8.5996","8.67882","8.45099","8.9842","8.29697","8.3843","7.88979","8.53153"
"QPCT","9.5476","9.98042","9.29891","9.08782","9.85052","8.95643","9.45388","9.78084","9.53618","10.0456","11.1867","8.86847","10.2069","9.77606","10.2315","10.105","10.483","9.91437","9.28895","10.5608","9.57883","10.7276"
"TNF","7.14786","5.97898","5.3299","5.55033","5.85603","5.99355","6.84844","6.35669","6.61969","6.74533","6.93717","8.19475","6.4587","6.62243","6.29319","6.85435","6.33202","7.47422","6.27215","7.43213","7.55359","6.89553"
