"","CXCL1","LRG1","MMP9","OSCAR","TNF","ARG1","QPCT","type"
"GSM1329616",6.71736,5.89766,8.34714,8.28377,7.14786,4.50338,9.5476,0
"GSM1329617",5.46255,6.08186,6.7444,7.07484,5.97898,4.41263,9.98042,0
"GSM1329618",6.8068,6.1336,6.93645,7.92018,5.3299,4.2927575,9.29891,0
"GSM1329619",5.80485,6.43297,6.88997,7.9561,5.55033,4.1131775,9.08782,0
"GSM1329620",6.17577,6.63854,7.10808,7.9826,5.85603,3.9513075,9.85052,0
"GSM1329621",5.48135,6.18845,6.97697,7.52294,5.99355,4.240625,8.95643,0
"GSM1329622",5.23138,6.19658,6.96266,7.9169,6.84844,3.970435,9.45388,0
"GSM1329623",5.85883,6.70948,7.48323,8.20684,6.35669,4.262185,9.78084,0
"GSM1329624",5.73641,5.92727,6.99055,7.99278,6.61969,4.3001575,9.53618,0
"GSM1329625",5.5221,6.53494,7.47623,8.55212,6.74533,4.148345,10.0456,0
"GSM1329626",8.66734,9.55308,13.0862,9.50637,6.93717,6.1543925,11.1867,1
"GSM1329627",6.31899,6.12387,8.14663,7.3407,8.19475,4.809115,8.86847,1
"GSM1329628",6.77595,6.76197,8.88312,8.28928,6.4587,4.5531175,10.2069,1
"GSM1329629",6.16979,6.71257,8.03554,8.67733,6.62243,4.49745,9.77606,1
"GSM1329630",5.60779,6.47488,7.99588,8.5996,6.29319,4.71093,10.2315,1
"GSM1329631",5.93192,6.80326,7.3394,8.67882,6.85435,4.2921175,10.105,1
"GSM1329632",5.72938,6.28672,7.2032,8.45099,6.33202,4.088795,10.483,1
"GSM1329633",6.85187,7.4241,8.15671,8.9842,7.47422,4.9926475,9.91437,1
"GSM1329634",5.62176,6.13944,6.82154,8.29697,6.27215,4.030945,9.28895,1
"GSM1329635",9.66455,8.89779,9.43923,8.3843,7.43213,4.595445,10.5608,1
"GSM1329636",7.95904,7.53937,7.74244,7.88979,7.55359,3.9234875,9.57883,1
"GSM1329637",5.69449,6.50926,7.37714,8.53153,6.89553,4.26506,10.7276,1
