"","CXCL1","LRG1","MMP9","OSCAR","TNF","ARG1","QPCT","type"
"GSM1620819",7.551589216,6.097364811,6.640438306,4.058845954,7.825320999,4.302402184,6.806557913,0
"GSM1620820",6.971297512,5.607371402,5.82822895,5.302527935,6.212648107,4.6369376,7.698417364,0
"GSM1620821",6.491675519,4.66718964,5.702475604,4.08378086,7.051904136,4.919447882,5.2129511,0
"GSM1620822",7.222457913,5.366637716,5.68611199,3.805970707,7.63360158,3.734855158,4.352084766,0
"GSM1620823",8.005089613,5.069017991,6.012059906,4.370871386,7.653408819,4.924085777,4.983974876,0
"GSM1620824",7.984397018,5.111779127,5.716931109,5.619361338,8.602958559,4.374814911,6.278974486,0
"GSM1620825",7.159997602,5.361764004,5.852563453,4.25565277,7.29008951,4.475486847,5.197994807,0
"GSM1620826",7.246696163,5.211988286,6.177779352,3.862866426,7.172898855,5.080169281,5.506649781,0
"GSM1620827",7.685742787,5.434977926,5.640058316,4.29003516,6.591429604,5.060548335,6.247598194,0
"GSM1620828",6.476648985,4.66986156,5.44713673,5.034994845,8.528359086,4.878951656,5.374523628,0
"GSM1620829",7.165205994,5.094901395,4.640008161,3.696270273,6.397540313,5.095900728,4.358973205,0
"GSM1620830",6.232615652,5.107865326,5.790660939,4.381807018,7.167674562,4.734156989,4.572277296,0
"GSM1620831",7.660326743,4.676797529,6.212144666,4.753004328,8.103099974,4.531490359,5.991675828,0
"GSM1620832",7.888003081,8.690609763,7.934777562,6.040891734,7.963062007,6.31651172,8.512773951,1
"GSM1620833",7.126859692,6.597591346,6.632856314,4.612511172,7.491475972,4.289590792,6.61187633,1
"GSM1620834",7.323142893,7.029790599,8.067274713,5.741954105,8.912436365,4.992223602,6.643576386,1
"GSM1620835",7.646416843,6.89731584,7.600877213,5.95046612,10.51132797,5.124410833,7.281363599,1
"GSM1620836",10.15335296,6.38212259,7.56634696,7.845368855,12.13052765,5.270284677,8.916447761,1
"GSM1620837",9.549418975,8.6013885,8.179061681,9.502640841,12.88546177,4.815067526,10.45954112,1
"GSM1620838",8.307115131,7.981226624,8.308007317,6.261135045,7.956624678,5.164251325,8.777597928,1
"GSM1620839",6.183145662,6.893983098,7.30479229,4.916800639,7.808434136,4.530871447,6.672388689,1
"GSM1620840",5.768950161,5.773358217,6.681173143,4.50474797,7.036138446,4.65085036,6.0508755,1
"GSM1620841",6.592062323,5.141196341,6.62993116,4.397516043,7.160261654,4.981120699,6.435372263,1
"GSM1620842",8.667940845,7.167206633,6.789567439,6.163216797,10.27911167,4.581137747,7.561849433,1
"GSM1620843",5.409167995,5.871154856,6.7709285,5.164282999,6.868974905,5.158740923,5.584608352,1
"GSM1620844",9.781626338,7.024067998,7.231521542,5.944142269,8.563214905,5.092686197,8.582373616,1
"GSM1620845",11.61375855,8.203283322,8.965779192,5.48148813,7.985073493,5.287423603,8.817003572,1
"GSM1620846",8.337689139,5.787731851,7.22508502,5.646663591,9.019440843,4.879863908,7.23584249,1
"GSM1620847",12.419672,7.566656993,9.53713095,7.809420678,11.13232164,6.32107848,10.9645714,1
"GSM1620848",7.924837895,4.819732097,5.813667039,4.18598646,6.476896273,4.816025423,5.308382787,1
"GSM1620849",10.72810407,7.807832459,8.186915513,6.47756429,9.721048885,4.185681826,9.390626695,1
"GSM1620850",12.75173331,8.451872886,10.68867086,8.419588149,9.934939705,7.453689596,11.52723582,1
"GSM1620851",13.19757794,8.872015122,11.27164119,8.212697758,10.20220986,7.182109023,11.82332036,1
"GSM1620852",12.13041391,5.479178851,10.18568736,7.500953623,9.137172346,7.034806721,10.58767081,1
"GSM1620853",8.562544729,4.647427789,5.680991468,3.938803915,8.072808439,5.351622104,5.329348508,0
"GSM1620854",8.530341207,4.557783135,6.229819824,4.900670309,8.470843246,6.202673868,6.247562063,0
"GSM1620855",8.046618972,7.085447772,5.28887458,4.896429444,8.218134441,4.115146988,6.373640453,0
"GSM1620856",11.03074614,5.244307215,5.127508866,6.36606418,11.19535569,5.010698966,8.157849224,0
"GSM1620857",4.526923293,4.551662537,5.306685448,3.107844395,6.719807805,4.561517343,5.064834259,0
"GSM1620858",6.129286106,4.677986456,6.088310271,4.368056205,8.131502779,4.574698678,6.214694297,0
"GSM1620859",10.71241601,6.870534771,7.656121995,7.117470427,8.935583656,5.581395846,9.281329382,0
"GSM1620860",4.319432567,4.699835859,5.472752012,4.829429449,8.258745896,4.884478748,7.036104492,0
"GSM1620861",8.229887114,4.83549462,5.319812394,4.38471011,7.851825372,4.692476292,4.398228096,0
"GSM1620862",4.445617339,5.081456705,5.935852716,3.564961813,4.947938028,4.580448781,5.04506519,0
"GSM1620863",6.814309692,4.939051001,5.354885953,3.80206377,7.029512916,4.447385775,4.845492152,0
"GSM1620864",7.109652104,4.933827369,4.646285238,4.176584209,7.51436511,5.480159266,5.982642245,0
"GSM1620865",7.759978166,5.117809939,5.756756256,5.018315973,7.192011951,5.032308142,6.144351265,0
"GSM1620866",7.931565109,5.126569709,5.887479747,3.841619686,7.325996156,4.885751679,6.500451271,0
"GSM1620867",6.47025661,5.419139112,5.082657071,4.130728744,7.089194097,3.834977972,5.315026572,0
"GSM1620868",7.741754786,4.939791641,5.165276317,4.768489143,7.823448528,5.555217704,5.495303231,0
"GSM1620869",6.781083359,5.13940637,6.538576724,4.076950902,6.245430213,4.28860605,6.157790098,0
"GSM1620870",6.238597971,4.848488997,5.187612058,4.137909774,7.158146414,4.071020569,8.12153353,0
"GSM1620871",6.060962069,4.829025503,4.919448083,3.974836394,7.466230697,3.788058998,6.672388689,0
"GSM1620872",8.03435208,6.059208139,6.176610366,3.693554633,6.864345383,5.071972616,6.085968021,0
"GSM1620873",6.43018157,5.002941614,5.19568497,4.098656915,6.869855706,4.54464465,5.875724914,0
"GSM1620874",7.246998028,4.581371997,5.708943884,4.200286354,6.803405159,4.522249511,5.242539098,0
"GSM1620875",6.460049086,4.840459328,5.487642852,4.902533841,7.383264512,5.423624566,5.041472565,0
"GSM1620876",6.461880567,5.933652565,5.090605165,3.956290613,6.791896504,4.154914984,5.057940472,0
"GSM1620877",8.579620032,5.971713118,7.132283599,5.934903389,8.337744685,5.297827807,6.397327701,1
"GSM1620878",6.274966783,6.648965735,6.449552907,4.567600029,7.043324975,4.87491775,6.959950656,1
"GSM1620879",7.521607766,5.801246753,5.877151259,4.354744869,9.216054422,4.735923269,5.56080394,1
"GSM1620880",11.42525528,10.97674323,8.705396889,7.654917196,9.379272537,6.165140811,9.892318073,1
"GSM1620881",11.72854505,9.896061437,8.639714818,6.363571369,8.83504051,5.769816672,11.12615587,1
"GSM1620882",9.596735085,7.821065461,5.302112778,5.960593908,10.99245447,4.178170183,9.727472376,1
"GSM1620883",11.13060083,7.866569233,7.935482025,4.842623076,8.747429894,6.17847026,10.03731489,1
"GSM1620884",11.31433381,6.01176208,8.646986901,4.49620411,7.044522851,5.144081515,9.505652809,1
"GSM1620885",8.19959698,6.155333147,4.789628838,5.097282266,6.632863116,5.456455835,7.570337236,1
"GSM1620886",7.653558387,5.848923055,6.555882696,5.626318672,9.192283108,5.406679412,7.932632835,1
"GSM1620887",5.706302256,5.423057328,7.135926295,4.180240951,5.771524425,4.196283165,5.418411798,1
"GSM1620888",7.587689041,5.2818255,8.070610209,4.024294135,9.267151223,4.41744994,6.375240558,1
"GSM1620889",7.828191532,6.66671057,8.195525596,4.82513799,8.354763555,4.986321082,9.062348048,1
"GSM1620890",8.135092168,7.625162609,6.58418192,6.333195977,10.97467028,4.45555703,7.919082186,1
"GSM1620891",9.270116805,5.374996223,6.120083373,5.479079756,11.99084049,5.177048084,8.585184197,1
"GSM1620892",3.900529054,6.046660525,7.985864387,4.093405502,5.490086163,4.448386562,5.6458011,0
"GSM1620893",4.650903611,5.340832127,7.162170285,4.748856714,6.409473646,4.623859239,4.675323776,0
"GSM1620894",7.861659128,6.341609482,5.772188885,6.296773565,8.07327644,5.487718932,6.368306558,0
"GSM1620895",6.198647312,5.587490878,7.165319589,4.476566629,6.542367506,4.264677962,5.21373424,0
"GSM1620896",7.751433559,4.944596317,8.701513404,4.119427964,8.055065458,4.329457597,7.825478719,0
"GSM1620897",8.571801954,5.159797287,7.250607206,4.887980103,6.774773763,5.026938933,6.192872526,0
"GSM1620898",8.956030832,4.742141782,5.990907158,4.205717137,8.437270659,5.131804577,6.264794447,0
"GSM1620899",6.290537276,6.093459081,6.070463069,6.859293045,6.682369472,5.301518133,6.21725562,0
"GSM1620900",6.425979407,5.287387091,5.781321928,4.921431313,7.759559848,4.28042868,4.653585111,0
"GSM1620901",4.373853549,5.146053418,4.951439344,4.493066304,6.662171784,4.25270555,5.787694645,0
