"","GSM1620819","GSM1620820","GSM1620821","GSM1620822","GSM1620823","GSM1620824","GSM1620825","GSM1620826","GSM1620827","GSM1620828","GSM1620829","GSM1620830","GSM1620831","GSM1620832","GSM1620833","GSM1620834","GSM1620835","GSM1620836","GSM1620837","GSM1620838","GSM1620839","GSM1620840","GSM1620841","GSM1620842","GSM1620843","GSM1620844","GSM1620845","GSM1620846","GSM1620847","GSM1620848","GSM1620849","GSM1620850","GSM1620851","GSM1620852","GSM1620853","GSM1620854","GSM1620855","GSM1620856","GSM1620857","GSM1620858","GSM1620859","GSM1620860","GSM1620861","GSM1620862","GSM1620863","GSM1620864","GSM1620865","GSM1620866","GSM1620867","GSM1620868","GSM1620869","GSM1620870","GSM1620871","GSM1620872","GSM1620873","GSM1620874","GSM1620875","GSM1620876","GSM1620877","GSM1620878","GSM1620879","GSM1620880","GSM1620881","GSM1620882","GSM1620883","GSM1620884","GSM1620885","GSM1620886","GSM1620887","GSM1620888","GSM1620889","GSM1620890","GSM1620891","GSM1620892","GSM1620893","GSM1620894","GSM1620895","GSM1620896","GSM1620897","GSM1620898","GSM1620899","GSM1620900","GSM1620901","GSM1620902","GSM1620903","GSM1620904","GSM1620905","GSM1620906","GSM1620907","GSM1620908","GSM1620909","GSM1620910","GSM1620911","GSM1620912","GSM1620913","GSM1620914","GSM1620915","GSM1620916","GSM1620917"
"ARG1","4.91806197554646","5.85155521112705","6.26403295962839","3.04396685085409","6.41742795810679","4.66855946694454","5.45400408656306","6.85067532608131","6.06975391977771","5.43598382938624","5.62376761858429","5.8080514909727","5.24205699116368","7.49834698823702","4.23966439303108","4.39603436453581","6.9334187869636","6.6146609903432","6.35783254126484","6.41282489092239","4.6830930307544","5.9141343381638","5.30856468233734","5.49684768014503","6.46252215647339","5.98726211121323","6.83457376331496","7.71589810583534","8.29929054878109","5.71211457450304","4.36976195595842","9.97495286265027","9.42562760438702","9.20080618464979","5.71799360821511","7.40843097390408","3.53714399190151","6.66488434545432","3.9801689299681","3.12879448913763","7.33110507067051","5.80225413301268","4.91141155546479","5.44648244028907","4.72597418954377","6.51656307294103","6.49475216364967","5.38910747242248","4.18356883201701","7.33997360719567","4.76750661353898","4.8699783459341","3.26697956069487","4.24274804111926","3.93535247887868","4.85362396048807","7.26694259129866","4.71851719181715","5.27773274653438","6.66209109047642","4.65994268690494","9.20456835395181","9.18884662206433","3.24865459735764","9.13559547020447","7.60862772193124","5.7422920094374","7.21938343251789","4.05118457011711","3.54399697351535","5.85227911028364","4.58024443074943","4.75498777362529","4.59052591084051","5.10947372181395","6.04189019332227","3.74778478588286","4.4353094541137","5.65531333077325","7.17739072264711","5.05090495504084","4.11935521025458","4.56285104764669","6.16647591488072","4.71079153299003","4.479843156567","5.58131034492773","5.80639370062349","6.94248170824102","8.159430129353","8.20412344659071","5.76764979310215","4.42082754807454","5.91343927960847","5.76883680457963","7.650718299089","8.18159651922734","5.60522361114471","3.14827129687237"
"ARG1","2.74937802354773","2.67401788661067","3.03940219232722","2.41453260257391","2.47497684219462","3.01971425227791","2.8878078646032","2.78438916866219","3.17818123743125","3.45242861203634","4.10806296997064","2.76882995078977","3.30720213621262","5.25454250196196","2.42009445479512","4.59453129216153","2.91930259755579","3.69289171649054","2.96018029912794","4.51691783789895","3.55686770270257","2.85088247180908","4.30915033773196","2.49869852871253","4.02355621319955","3.1808629175858","3.97090439011197","2.77595612316003","4.27562259520354","3.3518763505175","3.65898038116634","5.35162961355206","4.83068068023639","6.72087053148028","5.45961086592886","4.54783495269988","2.92152247202849","2.75408559210395","3.09744203496798","3.06394377094109","4.1832368606135","3.53811205397885","3.74733611411456","2.83382851815934","2.8910273720033","4.86745589712166","4.33321355059709","2.62259176686186","2.63756897527708","4.6255426603719","2.61479870471986","2.14090771000057","2.92799331484879","5.12875937271646","3.83667109613664","4.33434807403537","3.5275152433649","2.5891613003193","5.11835300127635","2.69215051494229","3.33305333910069","3.37153789854048","2.79340881270329","3.77114621562407","2.70665810589129","2.40074950986408","4.76626288402836","3.78731701245053","3.11297023819957","3.09262548585987","3.00979855077989","2.96446042570503","4.90752992497719","2.38750484351842","2.86681626211784","5.1354475319907","2.43905341716872","2.7964668816839","4.16964799522261","2.52016914630285","4.80898909763308","2.96745173492397","2.40765490418174","3.02816180026396","2.68084897193838","2.68488494501719","3.13897021829881","4.10987198228761","4.84778535201479","3.96585667843607","4.06590602501439","2.35383374847236","4.37769319790322","6.13146448059316","7.05507391609634","2.56827408243256","2.90261557495444","2.72559164862501","2.98440192568354"
"ARG1","5.10216238535955","5.26422449785261","5.20129279407437","4.99113009843207","5.26218979685707","5.52174747127548","4.9736329921432","5.6033431632174","5.98095006241507","5.25439131864782","5.6070833127823","5.37525490266742","4.97097230011088","7.09977063957665","5.13743657493034","5.63716918647208","5.27510692893902","5.81274413539492","5.1337111184563","5.54170269297375","5.24952389249301","5.16604003245067","5.73510362673265","5.50744077222593","5.41192874536178","5.49141922519189","5.48000811432767","5.03379338559835","6.11724062301124","5.32265999767056","5.0910936322966","7.20097310443306","7.08019649397485","6.94472962806672","5.33646887752725","5.73212394838191","5.21391708959426","5.78986697943367","5.60931175353334","6.64043799065428","5.37995524728356","5.42456755262319","5.54098880671385","5.55307186099728","5.35277016869529","5.50832503861939","5.30144304649988","5.74128718206074","4.98185041731973","5.12662201874138","5.36968627345988","4.99481226851532","5.04015817034274","6.18693920861125","5.64457040202547","5.22537588866741","5.71029975559918","5.10705464884213","5.59051299406485","5.55992192450791","5.67922019000707","6.4702023240691","5.65011603451651","5.57203080890854","6.78472304237981","5.35737211494642","5.61361716297185","5.86887007257179","5.13809006037767","5.73709663489772","5.94307718488006","5.43815457904213","6.1441298653727","6.26108760622977","5.29434162957318","5.82906890855072","5.35490884183842","5.52174747127548","5.54163362383841","5.25586890454827","6.59960778006017","5.33688024071363","5.62772291538414","5.89571630142231","5.46713476724469","5.33525805335751","5.65681396792339","5.51861122373843","6.06898118213432","7.20452328246423","5.74296840369947","6.92099483059902","6.19182762017852","7.19689938445486","5.88229216571007","5.81897963351482","6.43434463376818","5.47169911722509","5.58168652378155"
"ARG1","4.4400063509175","4.75795280348444","5.17306358184028","4.48979108184384","5.54174850984647","4.28923845539644","4.58650244322223","5.08226946610043","5.01330811929629","5.37300286359855","5.0446890101029","4.98449161262973","4.60573000654253","5.41338675017551","5.361167746125","5.34115956506977","5.36981501762912","4.96084186522289","4.80854614607762","4.18555987708166","4.63400116045731","4.67234459715945","4.57166414955973","4.82156400881218","4.73695657738443","5.71120053487386","4.86420814473098","3.99380801889486","6.59216015277111","4.87745077120762","3.62289133369676","7.28720280310698","7.39193131298832","5.2728205412912","4.89241506313905","7.12230559819904","4.78800440021416","4.8339589462591","5.55914665403258","5.4656184595146","5.43128620680354","4.77298125077051","4.57016869102635","4.48841230385993","4.81977137003575","5.02829305333114","3.99982380820604","5.79002029473184","3.53692366356279","5.12873253107431","4.40243260951154","4.27838395047793","3.91710494672869","4.72944384024748","4.76198462102172","3.67565011916445","5.18974067315092","4.20492679557241","5.20471248693139","4.58550746829384","5.27147685808895","5.6142546662989","5.44689522056384","4.12084910854718","6.08690442159674","5.20957671463969","5.70365128343431","4.75114713135648","4.48288778973795","5.29608066759869","5.14012948303827","4.83936868482047","4.90154477177191","4.55442788640265","5.22480534333752","4.94446909263571","5.51696480304617","4.56430657923285","4.74116078251593","5.57378953434116","4.74657069783386","4.69802753531099","4.41259333349496","5.01440644576638","4.87904675337936","5.03993247483577","4.58432010636738","4.61932681070838","6.57777587908872","6.5672301211512","5.65058707376647","6.62638307880922","4.44113774249196","5.53227114203429","5.35130677137012","4.89334358172272","4.69371494271419","4.62309167009675","4.36956770448403"
"CXCL1","7.55158921642656","6.97129751238723","6.49167551882876","7.22245791301133","8.00508961324","7.98439701847552","7.15999760214434","7.24669616311639","7.68574278726753","6.4766489849224","7.16520599408596","6.2326156523532","7.66032674253226","7.88800308124288","7.12685969244245","7.32314289324602","7.64641684344055","10.1533529575544","9.54941897501151","8.30711513138607","6.18314566197746","5.76895016134073","6.59206232257457","8.66794084469912","5.40916799521196","9.78162633766759","11.613758546852","8.33768913896573","12.4196719987999","7.92483789453617","10.7281040657701","12.7517333060045","13.1975779429013","12.1304139050559","8.56254472890314","8.53034120713369","8.04661897204058","11.030746143411","4.52692329349277","6.12928610620121","10.7124160052411","4.31943256729323","8.22988711389208","4.44561733892987","6.81430969218105","7.10965210394212","7.75997816593894","7.93156510890281","6.4702566104524","7.74175478580094","6.78108335918565","6.23859797051729","6.06096206929236","8.03435207973623","6.4301815702323","7.24699802829898","6.46004908618665","6.4618805666595","8.57962003188842","6.27496678312426","7.52160776619618","11.4252552842318","11.7285450487923","9.59673508522619","11.1306008287769","11.314333811828","8.19959697977812","7.6535583869357","5.7063022561245","7.58768904106151","7.82819153177455","8.13509216842465","9.2701168046731","3.90052905363324","4.65090361126563","7.86165912833099","6.1986473118551","7.75143355887221","8.57180195402982","8.95603083203141","6.29053727577323","6.42597940659288","4.37385354891551","6.85728344893632","4.28792972086431","5.11990795670684","8.10219769933464","7.66032674253226","8.87736446427499","9.68393994292438","8.51604482160814","7.07920562265052","7.88035222745758","7.52789274058658","7.95951316055855","11.1777156372024","8.67089043050549","9.3186190897466","6.92331005254293"
"LRG1","6.09736481134059","5.60737140200167","4.66718964037927","5.36663771589152","5.06901799071724","5.11177912697292","5.36176400357723","5.21198828597427","5.43497792558387","4.66986156007523","5.09490139450691","5.10786532606944","4.67679752874559","8.69060976317428","6.59759134633807","7.02979059925367","6.8973158397521","6.38212258997755","8.60138849999258","7.98122662381311","6.89398309791659","5.77335821674466","5.14119634073015","7.16720663302897","5.87115485646634","7.02406799767096","8.20328332204426","5.7877318506462","7.56665699327822","4.81973209730119","7.80783245860304","8.45187288576502","8.87201512158194","5.47917885114","4.64742778879665","4.55778313504027","7.08544777186239","5.24430721528705","4.55166253707453","4.67798645626419","6.87053477137178","4.69983585911279","4.83549462011661","5.08145670481394","4.93905100117632","4.93382736873916","5.11780993940049","5.12656970887863","5.41913911165153","4.93979164065084","5.13940636997291","4.84848899693109","4.82902550286265","6.05920813888193","5.00294161358334","4.58137199679177","4.84045932819507","5.93365256462458","5.97171311762092","6.64896573500873","5.80124675322678","10.9767432334853","9.89606143729394","7.82106546124179","7.866569233164","6.01176208022224","6.15533314740655","5.84892305524902","5.42305732795923","5.28182549979343","6.66671056998629","7.62516260876166","5.37499622341237","6.0466605250638","5.34083212701549","6.341609482045","5.58749087774591","4.94459631673648","5.15979728723778","4.74214178207481","6.09345908063041","5.28738709136337","5.14605341770225","4.94993559277613","6.01787283191131","5.7975657683147","6.17325882908736","6.22640119963044","5.66846160628891","4.69486661840256","6.44519622924969","5.05794672836851","5.34353582141223","7.9246490219855","7.68251488541264","7.17376209512126","5.43923140718604","5.33918571535941","5.72287759844928"
"MMP9","6.64043830615","5.82822894995172","5.70247560413367","5.68611198986736","6.01205990619115","5.71693110891379","5.85256345322808","6.17777935189586","5.64005831617376","5.44713673010906","4.64000816114225","5.7906609390292","6.21214466623714","7.93477756182855","6.63285631432906","8.06727471321989","7.6008772127081","7.56634696022395","8.17906168085256","8.30800731678384","7.30479229044877","6.68117314253587","6.62993116030821","6.78956743935668","6.77092849983945","7.2315215418664","8.96577919209792","7.2250850198074","9.53713095043847","5.81366703881859","8.18691551288145","10.688670862659","11.2716411928828","10.1856873563437","5.68099146848465","6.22981982440972","5.28887458017385","5.12750886648606","5.30668544807599","6.0883102705296","7.65612199465138","5.47275201232287","5.31981239382352","5.9358527163894","5.35488595300166","4.64628523777296","5.75675625646083","5.88747974659814","5.08265707138654","5.16527631682336","6.53857672433802","5.18761205814729","4.91944808314466","6.17661036567926","5.19568497009846","5.70894388408621","5.48764285158644","5.09060516518327","7.13228359903096","6.44955290670152","5.87715125885503","8.7053968891737","8.63971481847363","5.30211277764074","7.93548202540392","8.64698690083342","4.78962883755115","6.5558826963436","7.13592629549756","8.07061020945192","8.19552559624869","6.58418191967313","6.12008337348847","7.98586438709075","7.16217028503269","5.77218888525021","7.16531958904043","8.7015134037051","7.25060720632527","5.99090715792053","6.07046306853044","5.78132192758171","4.95143934394331","6.13795035895638","6.80797828932378","6.23988393373564","7.37568389444606","7.53177070420231","5.60721052051781","7.61621768074362","7.35862252619981","6.29903712413145","6.27850193605097","7.42539064244603","6.83649327502603","7.81132786263047","6.75607848168184","6.2771249697686","6.80090032750418"
"OSCAR","4.0588459538454","5.30252793493544","4.08378085966502","3.80597070721321","4.37087138574442","5.61936133786574","4.25565276966777","3.86286642577797","4.2900351599078","5.03499484547253","3.69627027275332","4.3818070176488","4.75300432798931","6.04089173411399","4.61251117165187","5.74195410484262","5.95046611971088","7.84536885508242","9.50264084137391","6.26113504455176","4.91680063945224","4.50474796992831","4.39751604264637","6.16321679651606","5.16428299933149","5.94414226912073","5.48148812978577","5.64666359130161","7.80942067821525","4.18598645968707","6.47756428961309","8.41958814879181","8.2126977583118","7.50095362321823","3.9388039147013","4.90067030949976","4.89642944446143","6.36606418048799","3.10784439510466","4.36805620453501","7.11747042703132","4.82942944877287","4.38471010951491","3.5649618133925","3.80206377043318","4.17658420945583","5.01831597252222","3.84161968592952","4.13072874375898","4.76848914254611","4.07695090200947","4.13790977411296","3.97483639446647","3.69355463278077","4.09865691468277","4.20028635417337","4.90253384096234","3.95629061327523","5.93490338889181","4.56760002893245","4.35474486872965","7.65491719629291","6.36357136946046","5.96059390766282","4.84262307641986","4.4962041097667","5.09728226608518","5.6263186722489","4.18024095059538","4.02429413509809","4.82513798959505","6.3331959774168","5.47907975617376","4.09340550192892","4.74885671425004","6.29677356521091","4.47656662851697","4.11942796379083","4.88798010286256","4.20571713662833","6.85929304518161","4.92143131292997","4.49306630443591","4.21241789233636","4.4563064894883","4.27041069955312","5.33182884243806","4.37609165587858","4.74988446697407","5.97238841373263","5.49585059835592","5.27584525381212","3.92912817890067","5.97268592089962","4.64463731600123","4.52654335840594","4.18616196128945","5.3622927588536","4.53591162351438"
"QPCT","6.80655791254068","7.69841736370347","5.21295110039144","4.35208476602227","4.98397487602483","6.27897448594981","5.19799480681437","5.50664978052373","6.24759819401302","5.37452362817549","4.35897320499178","4.5722772961081","5.99167582843767","8.51277395148496","6.61187632958664","6.64357638618572","7.2813635990591","8.91644776083681","10.4595411176595","8.77759792771101","6.67238868879323","6.05087549956987","6.43537226335786","7.56184943301373","5.58460835180831","8.5823736159207","8.81700357197114","7.23584248953835","10.9645714012896","5.30838278652175","9.39062669517311","11.5272358240848","11.823320361784","10.587670811343","5.32934850819198","6.24756206307522","6.37364045317774","8.15784922443715","5.06483425901029","6.21469429702231","9.2813293818599","7.03610449156965","4.39822809634459","5.04506519033297","4.84549215177836","5.98264224458279","6.14435126457201","6.50045127127113","5.31502657224361","5.49530323062683","6.15779009785738","8.12153352990555","6.67238868879323","6.08596802093842","5.87572491392709","5.24253909775056","5.04147256516586","5.0579404718947","6.39732770058721","6.95995065631589","5.56080394019486","9.89231807311193","11.1261558705496","9.72747237625103","10.0373148929776","9.50565280871153","7.57033723601695","7.93263283483516","5.41841179825495","6.37524055771241","9.06234804763515","7.91908218601789","8.5851841966776","5.64580110005242","4.67532377647309","6.36830655844133","5.21373423980608","7.82547871880215","6.19287252646087","6.26479444705166","6.21725562003972","4.65358511127839","5.78769464537145","4.76241668214672","4.98624505385375","5.0936394474857","8.26784102162763","8.70363581499362","7.15336122268539","9.27864520900019","9.27591779582438","5.2151636010129","6.89870141193721","5.39828811730501","6.92731331543902","9.25065672868213","7.47792325210966","7.31383308494595","7.12314424179244"
"TNF","7.82532099903594","6.21264810653381","7.05190413629179","7.63360157979312","7.65340881944696","8.60295855931461","7.29008951017862","7.1728988554587","6.59142960390061","8.52835908583942","6.39754031341263","7.16767456240842","8.10309997373356","7.96306200684066","7.49147597239005","8.91243636520985","10.5113279725388","12.130527645649","12.8854617741611","7.95662467830821","7.8084341362448","7.03613844619175","7.16026165432395","10.2791116745176","6.86897490540814","8.56321490478226","7.98507349315939","9.0194408427127","11.1323216404251","6.47689627339418","9.72104888452481","9.93493970531862","10.2022098621804","9.13717234586277","8.07280843911794","8.47084324619906","8.21813444064525","11.1953556913306","6.71980780463378","8.13150277902959","8.93558365556088","8.2587458956773","7.85182537150464","4.94793802846213","7.02951291573662","7.51436510983321","7.1920119508874","7.32599615619215","7.08919409689478","7.82344852752922","6.24543021296936","7.15814641396118","7.46623069677049","6.86434538259308","6.86985570581702","6.80340515884316","7.38326451162455","6.79189650388262","8.33774468467184","7.04332497545552","9.2160544218051","9.37927253714932","8.83504051023088","10.9924544699572","8.74742989440999","7.04452285089552","6.63286311634679","9.19228310846636","5.77152442518456","9.26715122337166","8.35476355478395","10.9746702785288","11.9908404932928","5.49008616274723","6.40947364583383","8.07327643970822","6.5423675055039","8.05506545846372","6.77477376267536","8.43727065890947","6.68236947248654","7.75955984761344","6.66217178449522","7.55637237462558","6.74080982790269","6.55901277218325","7.69128188645737","6.86636550685389","7.77038482639277","8.53055961149193","10.5236679168939","6.68630733705248","9.53763488822238","4.50486557182589","7.19853826721762","7.21624431058784","8.39107171416988","9.3157512372567","7.80500422860059"
